setting,family,task_order,round,share_be generous,share_be fair,share_be cautious,n_myths
2-agent homogeneous,GPT,game_myth,1,0.5,0.4,0.1,10
2-agent homogeneous,GPT,game_myth,2,0.1,0.7,0.2,10
2-agent homogeneous,GPT,game_myth,3,0.5,0.5,0.0,10
2-agent homogeneous,GPT,game_myth,4,0.2,0.7,0.1,10
2-agent homogeneous,GPT,game_myth,5,0.4,0.6,0.0,10
2-agent homogeneous,GPT,game_myth,6,0.3,0.6,0.1,10
2-agent homogeneous,GPT,game_myth,7,0.3,0.7,0.0,10
2-agent homogeneous,GPT,game_myth,8,0.7,0.3,0.0,10
2-agent homogeneous,GPT,game_myth,9,0.6,0.4,0.0,10
2-agent homogeneous,GPT,game_myth,10,0.3,0.6,0.1,10
2-agent homogeneous,GPT,myth_game,1,0.1,0.7,0.2,10
2-agent homogeneous,GPT,myth_game,2,0.2,0.6,0.2,10
2-agent homogeneous,GPT,myth_game,3,0.2,0.8,0.0,10
2-agent homogeneous,GPT,myth_game,4,0.2,0.8,0.0,10
2-agent homogeneous,GPT,myth_game,5,0.1,0.9,0.0,10
2-agent homogeneous,GPT,myth_game,6,0.1,0.8,0.1,10
2-agent homogeneous,GPT,myth_game,7,0.0,1.0,0.0,10
2-agent homogeneous,GPT,myth_game,8,0.1,0.9,0.0,10
2-agent homogeneous,GPT,myth_game,9,0.1,0.8,0.1,10
2-agent homogeneous,GPT,myth_game,10,0.0,1.0,0.0,10
2-agent homogeneous,Gemini,game_myth,1,0.6,0.4,0.0,10
2-agent homogeneous,Gemini,game_myth,2,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,game_myth,3,0.6,0.4,0.0,10
2-agent homogeneous,Gemini,game_myth,4,0.7,0.3,0.0,10
2-agent homogeneous,Gemini,game_myth,5,0.8,0.2,0.0,10
2-agent homogeneous,Gemini,game_myth,6,0.8,0.2,0.0,10
2-agent homogeneous,Gemini,game_myth,7,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,game_myth,8,0.7,0.3,0.0,10
2-agent homogeneous,Gemini,game_myth,9,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,game_myth,10,0.8,0.2,0.0,10
2-agent homogeneous,Gemini,myth_game,1,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,myth_game,2,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,myth_game,3,0.6,0.4,0.0,10
2-agent homogeneous,Gemini,myth_game,4,0.8,0.2,0.0,10
2-agent homogeneous,Gemini,myth_game,5,1.0,0.0,0.0,10
2-agent homogeneous,Gemini,myth_game,6,0.8,0.2,0.0,10
2-agent homogeneous,Gemini,myth_game,7,0.8,0.2,0.0,10
2-agent homogeneous,Gemini,myth_game,8,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,myth_game,9,0.9,0.1,0.0,10
2-agent homogeneous,Gemini,myth_game,10,0.9,0.1,0.0,10
2-agent homogeneous,Sonnet,game_myth,1,0.4,0.6,0.0,10
2-agent homogeneous,Sonnet,game_myth,2,0.6,0.4,0.0,10
2-agent homogeneous,Sonnet,game_myth,3,0.7,0.3,0.0,10
2-agent homogeneous,Sonnet,game_myth,4,0.5,0.5,0.0,10
2-agent homogeneous,Sonnet,game_myth,5,0.6,0.4,0.0,10
2-agent homogeneous,Sonnet,game_myth,6,0.4,0.6,0.0,10
2-agent homogeneous,Sonnet,game_myth,7,0.5,0.5,0.0,10
2-agent homogeneous,Sonnet,game_myth,8,0.6,0.3,0.1,10
2-agent homogeneous,Sonnet,game_myth,9,0.7,0.3,0.0,10
2-agent homogeneous,Sonnet,game_myth,10,0.6,0.4,0.0,10
2-agent homogeneous,Sonnet,myth_game,1,0.8,0.2,0.0,10
2-agent homogeneous,Sonnet,myth_game,2,0.3,0.7,0.0,10
2-agent homogeneous,Sonnet,myth_game,3,0.2,0.8,0.0,10
2-agent homogeneous,Sonnet,myth_game,4,0.3,0.7,0.0,10
2-agent homogeneous,Sonnet,myth_game,5,0.3,0.7,0.0,10
2-agent homogeneous,Sonnet,myth_game,6,0.7,0.3,0.0,10
2-agent homogeneous,Sonnet,myth_game,7,0.4,0.6,0.0,10
2-agent homogeneous,Sonnet,myth_game,8,0.3,0.7,0.0,10
2-agent homogeneous,Sonnet,myth_game,9,0.6,0.4,0.0,10
2-agent homogeneous,Sonnet,myth_game,10,0.6,0.4,0.0,10
2-agent mixed,GPT,game_myth,1,0.25,0.6666666666666666,0.08333333333333333,12
2-agent mixed,GPT,game_myth,2,0.5833333333333334,0.3333333333333333,0.08333333333333333,12
2-agent mixed,GPT,game_myth,3,0.45454545454545453,0.45454545454545453,0.09090909090909091,11
2-agent mixed,GPT,game_myth,4,0.5833333333333334,0.3333333333333333,0.08333333333333333,12
2-agent mixed,GPT,game_myth,5,0.4166666666666667,0.5,0.08333333333333333,12
2-agent mixed,GPT,game_myth,6,0.6666666666666666,0.25,0.08333333333333333,12
2-agent mixed,GPT,game_myth,7,0.4166666666666667,0.5,0.08333333333333333,12
2-agent mixed,GPT,game_myth,8,0.5,0.4166666666666667,0.08333333333333333,12
2-agent mixed,GPT,game_myth,9,0.5,0.4166666666666667,0.08333333333333333,12
2-agent mixed,GPT,game_myth,10,0.3333333333333333,0.5,0.16666666666666666,12
2-agent mixed,GPT,myth_game,1,0.25,0.75,0.0,12
2-agent mixed,GPT,myth_game,2,0.3333333333333333,0.6666666666666666,0.0,12
2-agent mixed,GPT,myth_game,3,0.5,0.5,0.0,12
2-agent mixed,GPT,myth_game,4,0.3333333333333333,0.6666666666666666,0.0,12
2-agent mixed,GPT,myth_game,5,0.16666666666666666,0.75,0.08333333333333333,12
2-agent mixed,GPT,myth_game,6,0.5,0.5,0.0,12
2-agent mixed,GPT,myth_game,7,0.25,0.6666666666666666,0.08333333333333333,12
2-agent mixed,GPT,myth_game,8,0.4166666666666667,0.4166666666666667,0.16666666666666666,12
2-agent mixed,GPT,myth_game,9,0.25,0.6666666666666666,0.08333333333333333,12
2-agent mixed,GPT,myth_game,10,0.5,0.3333333333333333,0.16666666666666666,12
2-agent mixed,Gemini,game_myth,1,0.9166666666666666,0.08333333333333333,0.0,12
2-agent mixed,Gemini,game_myth,2,0.5833333333333334,0.4166666666666667,0.0,12
2-agent mixed,Gemini,game_myth,3,0.8333333333333334,0.16666666666666666,0.0,12
2-agent mixed,Gemini,game_myth,4,0.9166666666666666,0.08333333333333333,0.0,12
2-agent mixed,Gemini,game_myth,5,0.75,0.25,0.0,12
2-agent mixed,Gemini,game_myth,6,0.6666666666666666,0.3333333333333333,0.0,12
2-agent mixed,Gemini,game_myth,7,0.9166666666666666,0.08333333333333333,0.0,12
2-agent mixed,Gemini,game_myth,8,0.6666666666666666,0.3333333333333333,0.0,12
2-agent mixed,Gemini,game_myth,9,0.75,0.25,0.0,12
2-agent mixed,Gemini,game_myth,10,0.5,0.5,0.0,12
2-agent mixed,Gemini,myth_game,1,1.0,0.0,0.0,12
2-agent mixed,Gemini,myth_game,2,0.75,0.25,0.0,12
2-agent mixed,Gemini,myth_game,3,0.8333333333333334,0.16666666666666666,0.0,12
2-agent mixed,Gemini,myth_game,4,0.8333333333333334,0.16666666666666666,0.0,12
2-agent mixed,Gemini,myth_game,5,0.9166666666666666,0.08333333333333333,0.0,12
2-agent mixed,Gemini,myth_game,6,0.5833333333333334,0.4166666666666667,0.0,12
2-agent mixed,Gemini,myth_game,7,0.9166666666666666,0.08333333333333333,0.0,12
2-agent mixed,Gemini,myth_game,8,0.6666666666666666,0.3333333333333333,0.0,12
2-agent mixed,Gemini,myth_game,9,0.8333333333333334,0.16666666666666666,0.0,12
2-agent mixed,Gemini,myth_game,10,0.75,0.25,0.0,12
2-agent mixed,Sonnet,game_myth,1,0.5,0.5,0.0,12
2-agent mixed,Sonnet,game_myth,2,0.4166666666666667,0.5,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,3,0.3333333333333333,0.5833333333333334,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,4,0.16666666666666666,0.75,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,5,0.5833333333333334,0.3333333333333333,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,6,0.6666666666666666,0.25,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,7,0.5,0.4166666666666667,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,8,0.5833333333333334,0.25,0.16666666666666666,12
2-agent mixed,Sonnet,game_myth,9,0.6666666666666666,0.25,0.08333333333333333,12
2-agent mixed,Sonnet,game_myth,10,0.75,0.16666666666666666,0.08333333333333333,12
