setting,path,composition,task_order,round,send_fraction,return_ratio
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,1,1.0,0.0
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,2,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,3,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,4,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,5,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,6,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,7,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,8,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,9,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,game,10,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,1,1.0,0.0
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,2,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,3,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,4,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,5,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,6,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,7,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,8,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,9,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,game,10,0.0,
