path,composition,mixed,minority,minority_count,majority,task_order,replicate_id,family,metric,n_decisions,value
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,0,GPT,sent,35,0.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,0,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,1,GPT,sent,35,0.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,1,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_002_neutral_rep02.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,2,GPT,sent,35,0.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_002_neutral_rep02.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,2,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_003_neutral_rep03.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,3,GPT,sent,35,0.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_003_neutral_rep03.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,3,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_004_neutral_rep04.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,4,GPT,sent,35,0.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_004_neutral_rep04.json,1 Gemini + 7 GPT,True,Gemini,1,GPT,game,4,Gemini,sent,5,0.4
