model,num_agents,noise,task_order,replicate,resources,pairing_seed,noise_seed,source_path
anthropic/claude-sonnet-4.5,2,no_noise,game_myth,0,55.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,myth_game,0,69.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,game_myth,0,56.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gpt_n5_000_neutral_rep00_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,myth_game,0,45.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gpt_n5_000_neutral_rep00_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,game_myth,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,myth_game,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,game_myth,0,54.75,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,myth_game,0,74.25,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,game_myth,0,57.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gpt_n5_000_neutral_rep00_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,myth_game,0,55.25,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gpt_n5_000_neutral_rep00_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,game_myth,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,myth_game,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,game,0,69.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_000_neutral_rep00.json
openai/gpt-5-nano,2,no_noise,game,0,25.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gpt_n5/gpt-5-nano/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gpt_n5_000_neutral_rep00.json
google/gemini-3.7-flash,2,no_noise,game,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_000_neutral_rep00.json
