model,noise_range,task_order,replicate,resources,pairing_seed,noise_seed,source_path,sha256
anthropic/claude-sonnet-4.5,0,game,0,69.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_000_neutral_rep00.json,6728aa724c2ae3e1323a93a2428959c7809c344891b4a6b12dd149db589e735a
anthropic/claude-sonnet-4.5,0,myth_game,0,69.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json,50bad2a415aeb8882e883e7f1b65701f2b21e1a60af1e9521c51a7cc39276788
anthropic/claude-sonnet-4.5,0,game,1,65.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_001_neutral_rep01.json,67657c93c6113e32a0628563e1a15a0b383c6e80c630846fa2d877625ce71825
anthropic/claude-sonnet-4.5,0,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json,3ad1a3c901469cc6224311ba42765cfa67b86f236571e8b149f3e8d756171702
anthropic/claude-sonnet-4.5,0,game,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_002_neutral_rep02.json,996247f894ccdb8185de7de385ca3a971e1c5264f6e9d915d32bd2d93955d20f
anthropic/claude-sonnet-4.5,0,myth_game,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json,ba8ceb696157b1b81fa8264b01ace61d25fc4afbe03db82d63def9ca09c5ebd0
anthropic/claude-sonnet-4.5,0,game,3,55.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_003_neutral_rep03.json,834873082a6aa5899f159421cf7c31caeb82e89d56e54bbff1df5eff80b8854a
anthropic/claude-sonnet-4.5,0,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json,71d135c910e9c4b93d5e27b7c3089b198236fbf17f7d100b2d3894d8f11e8aac
anthropic/claude-sonnet-4.5,0,game,4,55.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_004_neutral_rep04.json,ee9f3c48248c5f5ad8f1e54999bc9e354192a66186cc1e2cc4094f339c274c3b
anthropic/claude-sonnet-4.5,0,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json,cb01fb668a9635d720636bd750547a90d22e7c533a56af003d1019ef75c89d2c
