metric,model,num_agents,treatment,agent_scope,task_order,round,mean,std,n_runs
send_fraction,openai/gpt-5-nano,2,control,all,game,1,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,2,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,3,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,4,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,5,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,6,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,7,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,8,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,9,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game,10,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,1,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,2,0.4,0.2828,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,3,0.6,0.3742,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,4,0.6,0.2449,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,5,0.62,0.3347,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,6,0.58,0.2864,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,7,0.6,0.3162,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,8,0.68,0.3114,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,9,0.76,0.2608,5
send_fraction,openai/gpt-5-nano,2,control,all,game_myth,10,0.9,0.2236,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,1,0.56,0.3578,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,2,0.4508,0.3675,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,3,0.6104,0.1604,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,4,0.7072,0.2486,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,5,0.8,0.2828,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,6,0.792,0.2645,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,7,0.82,0.249,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,8,0.78,0.2588,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,9,0.72,0.4382,5
send_fraction,openai/gpt-5-nano,2,control,all,myth_game,10,0.6872,0.4373,5
send_fraction,openai/gpt-5-nano,8,control,all,game,1,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,2,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,3,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,4,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,5,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,6,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,7,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,8,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,9,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game,10,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,1,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,2,0.26,0.114,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,3,0.305,0.0716,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,4,0.31,0.1597,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,5,0.27,0.1857,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,6,0.2929,0.2148,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,7,0.35,0.15,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,8,0.2175,0.2573,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,9,0.29,0.4006,5
send_fraction,openai/gpt-5-nano,8,control,all,game_myth,10,0.3,0.4472,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,1,0.56,0.0962,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,2,0.3676,0.1094,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,3,0.465,0.1597,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,4,0.3987,0.2342,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,5,0.46,0.3029,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,6,0.36,0.2074,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,7,0.41,0.3029,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,8,0.3,0.2092,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,9,0.48,0.2885,5
send_fraction,openai/gpt-5-nano,8,control,all,myth_game,10,0.2,0.326,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,1,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,3,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,4,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,5,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,6,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,7,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,8,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,9,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game,10,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,1,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,3,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,4,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,5,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,6,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,7,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,8,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,9,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,game_myth,10,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,1,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,3,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,4,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,5,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,6,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,7,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,8,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,9,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,control,all,myth_game,10,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,1,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,3,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,4,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,5,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,6,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,7,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,8,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,9,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game,10,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,1,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,3,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,4,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,5,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,6,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,7,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,8,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,9,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,game_myth,10,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,1,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,3,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,4,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,5,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,6,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,7,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,8,1.0,0.0,5
