population,agents,model,defection,task_order,n_runs,mean_final,std_final,max_final,min_final,best_rep,best_file
dyad,all,gpt-5-nano,none,game,5,25.0,0.0,25.0,25.0,4,negative_only_reasoning_rerun_dyad_game_gpt_n5_004_neutral_rep04.json
dyad,all,gpt-5-nano,none,game_myth,5,53.7,10.46,68.0,40.0,4,negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_004_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,none,myth_game,5,59.64,11.81,72.75,43.06,1,negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_001_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,game,5,27.0,4.47,35.0,25.0,2,negative_only_reasoning_rerun_dyad_game_gpt_n5_007_neutral_rep02.json
dyad,all,gpt-5-nano,random25,game_myth,5,38.53,6.84,45.26,27.5,0,negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_005_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,myth_game,5,44.69,9.14,54.76,34.0,2,negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_007_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,game,5,25.0,0.0,25.0,25.0,4,negative_only_reasoning_rerun_dyad_game_gpt_n5_014_neutral_rep04.json
dyad,all,gpt-5-nano,random50,game_myth,5,29.2,2.17,32.0,27.0,2,negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_012_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,myth_game,5,32.6,1.92,34.0,30.49,2,negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_012_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,game,5,75.0,0.0,75.0,75.0,2,negative_only_reasoning_rerun_dyad_game_gemini_n5_002_neutral_rep02.json
dyad,all,gemini-3.7-flash,none,game_myth,5,75.0,0.0,75.0,75.0,4,negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,myth_game,5,75.0,0.0,75.0,75.0,2,negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,random25,game,5,46.0,8.94,55.0,35.0,4,negative_only_reasoning_rerun_dyad_game_gemini_n5_009_neutral_rep04.json
dyad,all,gemini-3.7-flash,random25,game_myth,5,49.0,7.42,60.0,40.0,4,negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_009_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,random25,myth_game,5,55.0,9.35,65.0,45.0,1,negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_006_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,random50,game,5,35.0,5.0,40.0,30.0,4,negative_only_reasoning_rerun_dyad_game_gemini_n5_014_neutral_rep04.json
dyad,all,gemini-3.7-flash,random50,game_myth,5,42.2,4.38,45.0,35.0,4,negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_014_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,random50,myth_game,5,45.0,6.12,50.0,35.0,4,negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_014_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,claude-sonnet-4.5,none,game,5,50.4,3.99,55.0,46.0,2,negative_only_reasoning_rerun_dyad_game_claude_n5_002_neutral_rep02.json
dyad,all,claude-sonnet-4.5,none,game_myth,5,55.58,4.64,62.5,50.0,0,negative_only_reasoning_rerun_dyad_game_myth_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,claude-sonnet-4.5,none,myth_game,5,57.82,8.2,66.5,47.6,4,negative_only_reasoning_rerun_dyad_myth_game_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,claude-sonnet-4.5,random25,game,5,38.45,4.02,42.25,32.5,4,negative_only_reasoning_rerun_dyad_game_claude_n5_009_neutral_rep04.json
dyad,all,claude-sonnet-4.5,random25,game_myth,5,46.5,7.74,59.5,39.5,1,negative_only_reasoning_rerun_dyad_game_myth_claude_n5_006_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,claude-sonnet-4.5,random25,myth_game,5,53.14,4.96,58.35,48.0,4,negative_only_reasoning_rerun_dyad_myth_game_claude_n5_009_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,claude-sonnet-4.5,random50,game,5,32.1,2.41,34.0,28.0,0,negative_only_reasoning_rerun_dyad_game_claude_n5_010_neutral_rep00.json
dyad,all,claude-sonnet-4.5,random50,game_myth,5,35.3,3.87,41.0,31.0,1,negative_only_reasoning_rerun_dyad_game_myth_claude_n5_011_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,claude-sonnet-4.5,random50,myth_game,5,36.0,3.82,41.5,31.0,4,negative_only_reasoning_rerun_dyad_myth_game_claude_n5_014_neutral_rep04_memtest_memory_primary_anything.json
population,all,gpt-5-nano,none,game,5,25.0,0.0,25.0,25.0,3,negative_only_reasoning_rerun_population_game_gpt_n5_003_neutral_rep03.json
population,all,gpt-5-nano,none,game_myth,5,37.98,7.13,48.0,29.75,0,negative_only_reasoning_rerun_population_game_myth_gpt_n5_000_neutral_rep00_memtest_memory_primary_anything.json
population,all,gpt-5-nano,none,myth_game,5,45.01,8.32,50.84,30.57,4,negative_only_reasoning_rerun_population_myth_game_gpt_n5_004_neutral_rep04_memtest_memory_primary_anything.json
population,all,gpt-5-nano,defectors25,game,5,25.15,0.34,25.75,25.0,3,negative_only_reasoning_rerun_population_game_gpt_n5_008_neutral_rep03.json
population,all,gpt-5-nano,defectors25,game_myth,5,32.16,6.26,39.31,25.5,4,negative_only_reasoning_rerun_population_game_myth_gpt_n5_009_neutral_rep04_memtest_memory_primary_anything.json
population,all,gpt-5-nano,defectors25,myth_game,5,33.52,5.26,41.75,29.0,1,negative_only_reasoning_rerun_population_myth_game_gpt_n5_006_neutral_rep01_memtest_memory_primary_anything.json
population,all,gpt-5-nano,defectors50,game,5,25.0,0.0,25.0,25.0,3,negative_only_reasoning_rerun_population_game_gpt_n5_013_neutral_rep03.json
population,all,gpt-5-nano,defectors50,game_myth,5,25.5,0.73,26.75,25.0,3,negative_only_reasoning_rerun_population_game_myth_gpt_n5_013_neutral_rep03_memtest_memory_primary_anything.json
population,all,gpt-5-nano,defectors50,myth_game,5,29.85,3.09,33.88,26.75,3,negative_only_reasoning_rerun_population_myth_game_gpt_n5_013_neutral_rep03_memtest_memory_primary_anything.json
population,all,gemini-3.7-flash,none,game,5,75.0,0.0,75.0,75.0,0,negative_only_reasoning_rerun_population_game_gemini_n5_000_neutral_rep00.json
population,all,gemini-3.7-flash,none,game_myth,5,75.0,0.0,75.0,75.0,4,negative_only_reasoning_rerun_population_game_myth_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
population,all,gemini-3.7-flash,none,myth_game,5,75.0,0.0,75.0,75.0,2,negative_only_reasoning_rerun_population_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
population,all,gemini-3.7-flash,defectors25,game,5,55.05,1.59,56.5,52.5,3,negative_only_reasoning_rerun_population_game_gemini_n5_008_neutral_rep03.json
population,all,gemini-3.7-flash,defectors25,game_myth,5,56.5,1.63,58.75,55.0,0,negative_only_reasoning_rerun_population_game_myth_gemini_n5_005_neutral_rep00_memtest_memory_primary_anything.json
population,all,gemini-3.7-flash,defectors25,myth_game,5,57.0,2.09,58.75,53.75,0,negative_only_reasoning_rerun_population_myth_game_gemini_n5_005_neutral_rep00_memtest_memory_primary_anything.json
population,all,gemini-3.7-flash,defectors50,game,5,39.8,2.72,43.75,36.25,2,negative_only_reasoning_rerun_population_game_gemini_n5_012_neutral_rep02.json
population,all,gemini-3.7-flash,defectors50,game_myth,5,42.25,2.4,46.25,40.0,2,negative_only_reasoning_rerun_population_game_myth_gemini_n5_012_neutral_rep02_memtest_memory_primary_anything.json
population,all,gemini-3.7-flash,defectors50,myth_game,5,43.25,1.43,45.0,41.25,2,negative_only_reasoning_rerun_population_myth_game_gemini_n5_012_neutral_rep02_memtest_memory_primary_anything.json
population,all,claude-sonnet-4.5,none,game,5,55.17,1.01,56.62,54.12,0,negative_only_reasoning_rerun_population_game_claude_n5_000_neutral_rep00.json
population,all,claude-sonnet-4.5,none,game_myth,5,54.11,0.92,55.38,52.88,4,negative_only_reasoning_rerun_population_game_myth_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
population,all,claude-sonnet-4.5,none,myth_game,5,68.73,4.43,73.38,63.0,0,negative_only_reasoning_rerun_population_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
population,all,claude-sonnet-4.5,defectors25,game,5,40.7,1.53,43.0,38.88,4,negative_only_reasoning_rerun_population_game_claude_n5_009_neutral_rep04.json
population,all,claude-sonnet-4.5,defectors25,game_myth,5,44.34,0.9,45.25,42.94,3,negative_only_reasoning_rerun_population_game_myth_claude_n5_008_neutral_rep03_memtest_memory_primary_anything.json
population,all,claude-sonnet-4.5,defectors25,myth_game,5,47.79,2.61,51.14,44.38,2,negative_only_reasoning_rerun_population_myth_game_claude_n5_007_neutral_rep02_memtest_memory_primary_anything.json
population,all,claude-sonnet-4.5,defectors50,game,5,30.44,1.4,32.5,29.0,2,negative_only_reasoning_rerun_population_game_claude_n5_012_neutral_rep02.json
population,all,claude-sonnet-4.5,defectors50,game_myth,5,33.4,1.53,35.0,31.5,4,negative_only_reasoning_rerun_population_game_myth_claude_n5_014_neutral_rep04_memtest_memory_primary_anything.json
population,all,claude-sonnet-4.5,defectors50,myth_game,5,35.81,1.67,37.88,33.75,0,negative_only_reasoning_rerun_population_myth_game_claude_n5_010_neutral_rep00_memtest_memory_primary_anything.json
population,ordinary,gpt-5-nano,none,game,5,25.0,0.0,25.0,25.0,3,negative_only_reasoning_rerun_population_game_gpt_n5_003_neutral_rep03.json
population,ordinary,gpt-5-nano,none,game_myth,5,37.98,7.13,48.0,29.75,0,negative_only_reasoning_rerun_population_game_myth_gpt_n5_000_neutral_rep00_memtest_memory_primary_anything.json
population,ordinary,gpt-5-nano,none,myth_game,5,45.01,8.32,50.84,30.57,4,negative_only_reasoning_rerun_population_myth_game_gpt_n5_004_neutral_rep04_memtest_memory_primary_anything.json
population,ordinary,gpt-5-nano,defectors25,game,5,25.2,0.45,26.0,25.0,3,negative_only_reasoning_rerun_population_game_gpt_n5_008_neutral_rep03.json
population,ordinary,gpt-5-nano,defectors25,game_myth,5,32.85,7.87,44.09,24.67,4,negative_only_reasoning_rerun_population_game_myth_gpt_n5_009_neutral_rep04_memtest_memory_primary_anything.json
population,ordinary,gpt-5-nano,defectors25,myth_game,5,33.36,6.87,44.83,27.83,1,negative_only_reasoning_rerun_population_myth_game_gpt_n5_006_neutral_rep01_memtest_memory_primary_anything.json
population,ordinary,gpt-5-nano,defectors50,game,5,25.0,0.0,25.0,25.0,3,negative_only_reasoning_rerun_population_game_gpt_n5_013_neutral_rep03.json
population,ordinary,gpt-5-nano,defectors50,game_myth,5,25.7,1.16,27.75,25.0,3,negative_only_reasoning_rerun_population_game_myth_gpt_n5_013_neutral_rep03_memtest_memory_primary_anything.json
population,ordinary,gpt-5-nano,defectors50,myth_game,5,30.35,6.32,38.62,23.25,3,negative_only_reasoning_rerun_population_myth_game_gpt_n5_013_neutral_rep03_memtest_memory_primary_anything.json
population,ordinary,gemini-3.7-flash,none,game,5,75.0,0.0,75.0,75.0,0,negative_only_reasoning_rerun_population_game_gemini_n5_000_neutral_rep00.json
population,ordinary,gemini-3.7-flash,none,game_myth,5,75.0,0.0,75.0,75.0,4,negative_only_reasoning_rerun_population_game_myth_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
