family,paths,distinct_bytes,model_labels,sample_path,sample_task_order,sample_protocol,caveat
ablation_phase1,270,80,anthropic/claude-sonnet-4.5,data/json/ablation_phase1/m1_s_filler/ablation_m1_s_filler_rep05_filler_belgium.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10, ""seed_myth"": true}",
anonymous_record_gpt_n5_20260821,5,5,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/anonymous_record_gpt_n5_20260821/noise8_anonymous_record_signed_gpt_n5_game/gpt-5-nano/game/noisy8_anonymous_record_signed_gpt_game_r3/noise8_anonymous_record_signed_gpt_n5_game_001_neutral_rep01.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""anonymous_population_record"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
baseline,1052,263,anthropic/claude-sonnet-4.5|google/gemini-3-pro-preview|google/gemini-3.1-pro-preview|openai/gpt-5-nano,data/json/baseline/claude-sonnet-4.5/game/10runs_model_comparison_000_neutral_2.json,"[""game""]","{""memory_capacity"": 3, ""num_agents"": 2, ""num_turns"": 15}",
baseline_match_ablation,378,126,openai/gpt-5-nano,data/json/baseline_match_ablation/direct/old_prompt_old_runner_15/gpt-5-nano/game/default/old_prompt_old_runner_15_001_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": null, ""num_agents"": 2, ""num_turns"": 15}",
corrected_v2_confirmatory_20260812,60,60,anthropic/claude-sonnet-4.5,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_009_neutral_rep09_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
corrected_v2_resmoke_20260812,1,1,anthropic/claude-sonnet-4.5,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/corrected_v2_resmoke_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
crossmodel_population_size_dyads_20260824,24,24,google/gemini-3.7-flash|openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_myth_game_002_neutral_rep92_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""minimal"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
crossmodel_population_size_dyads_excluded_dirty_20260824,8,8,google/gemini-3.7-flash|openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/crossmodel_population_size_dyads_excluded_dirty_20260824/noise2_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_myth_game_002_neutral_rep92_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""minimal"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
crossmodel_signed_gpt_n5_20260821,15,15,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_001_neutral_rep01.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
crossmodel_signed_smoke_20260820,6,6,google/gemini-3.1-flash-lite|openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/crossmodel_signed_smoke_20260820/noise8_crossmodel_signed_smoke_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_smoke_game_001_neutral.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
