path,composition,mixed,first_sender_family,task_order,replicate_id,round,sender_family,receiver_family,sent,received,returned,return_proportion,zero_receipt,sender_payoff,receiver_payoff,balance_Agent_1,balance_Agent_2,family_Agent_1,family_Agent_2,total_balance
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,1,Gemini,GPT,5.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,Gemini,GPT,15.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,2,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,0.0,20.0,Gemini,GPT,20.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,3,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,5.0,20.0,Gemini,GPT,25.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,4,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,5.0,25.0,Gemini,GPT,30.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,5,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,10.0,25.0,Gemini,GPT,35.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,6,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,10.0,30.0,Gemini,GPT,40.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,7,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,15.0,30.0,Gemini,GPT,45.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,8,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,15.0,35.0,Gemini,GPT,50.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,9,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,20.0,35.0,Gemini,GPT,55.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,Gemini,game,0,10,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,20.0,40.0,Gemini,GPT,60.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,1,Gemini,GPT,5.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,Gemini,GPT,15.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,2,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,0.0,20.0,Gemini,GPT,20.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,3,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,5.0,20.0,Gemini,GPT,25.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,4,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,5.0,25.0,Gemini,GPT,30.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,5,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,10.0,25.0,Gemini,GPT,35.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,6,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,10.0,30.0,Gemini,GPT,40.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,7,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,15.0,30.0,Gemini,GPT,45.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,8,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,15.0,35.0,Gemini,GPT,50.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,9,Gemini,GPT,0.0,0.0,0.0,,1.0,5.0,0.0,20.0,35.0,Gemini,GPT,55.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,Gemini,game,2,10,GPT,Gemini,0.0,0.0,0.0,,1.0,5.0,0.0,20.0,40.0,Gemini,GPT,60.0
