path,composition,mixed,task_order,replicate_id,family,metric,n_decisions,value
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,game,0,GPT,sent,5,0.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_000_neutral_rep00.json,Gemini+GPT,True,game,0,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,game,2,GPT,sent,5,0.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_001_neutral_rep02.json,Gemini+GPT,True,game,2,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,True,game,4,GPT,sent,5,0.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,True,game,4,Gemini,sent,5,1.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,True,game,1,Gemini,sent,5,5.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,True,game,1,Sonnet,sent,5,4.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,True,game,3,Gemini,sent,5,5.0
data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,True,game,3,Sonnet,sent,5,4.21
