setting,role,coef_coop_on_generous_after,ci_low,ci_high,p,n
2-agent homogeneous,investor,0.04272649760118301,-0.44958149168447337,0.5350344868868394,0.8649302035856321,270
2-agent homogeneous,trustee,-0.11799604773723904,-1.0592082658501365,0.8232161703756585,0.8059044688774959,266
2-agent mixed,investor,0.23207745113383216,-0.15956358889593186,0.6237184911635962,0.24546728987448085,323
2-agent mixed,trustee,0.25260977675217533,-0.393777484525373,0.8989970380297236,0.4437007678373216,322
8-agent homogeneous,investor,0.039126722722319415,-0.09331832107489242,0.17157176651953127,0.5625826164267855,1080
8-agent homogeneous,trustee,0.12929274858369072,-0.2951128850259077,0.5536983821932892,0.5504460813160671,919
8-agent mixed,investor,0.21558177541686463,0.14223053799297675,0.2889330128407525,8.391451228510416e-09,2160
8-agent mixed,trustee,0.514890634178326,0.18671927178423614,0.843061996572416,0.00210416199325245,1952
all settings,investor,0.1553525086705816,0.0910550032785921,0.21965001406257106,2.1844055495631095e-06,3833
all settings,trustee,0.3136408071148141,0.0778526181993214,0.5494289960303068,0.00913112195716998,3459
